layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP332,1124073,,all,32,,,,2-digit postcode area,2018,USA,US,,,,,,,0,88509,"[-81.2863,29.2996]","[-87.6348,27.5572,-80.3214,31.0127]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP333,1058537,,all,33,,,,2-digit postcode area,2018,USA,US,,,,,,,0,45679,"[-81.5219,26.9734]","[-82.9264,24.5211,-80.0312,28.9605]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP334,993001,,all,34,,,,2-digit postcode area,2018,USA,US,,,,,,,0,33265,"[-81.1993,28.1367]","[-82.8577,25.7845,-80.1491,29.3395]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP335,927465,,all,35,,,,2-digit postcode area,2018,USA,US,,,,,,,0,68777,"[-87.1955,33.7147]","[-88.386,32.4008,-85.4192,35.008]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP336,796393,,all,36,,,,2-digit postcode area,2018,USA,US,,,,,,,0,90691,"[-86.7175,32.1842]","[-88.4732,30.1941,-84.8882,34.1027]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP337,665321,,all,37,,,,2-digit postcode area,2018,USA,US,,,,,,,0,79415,"[-83.9008,35.8311]","[-90.0182,34.9607,-81.6504,36.692]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP338,534249,,all,38,,,,2-digit postcode area,2018,USA,US,,,,,,,0,104962,"[-89.2859,34.7622]","[-91.2359,32.8994,-84.6196,36.6336]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP339,403177,,all,39,,,,2-digit postcode area,2018,USA,US,,,,,,,0,109971,"[-89.7379,32.1195]","[-91.655,30.1768,-84.0729,34.0226]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP340,4990697,,all,40,,,,2-digit postcode area,2018,USA,US,,,,,,,0,42623,"[-84.7125,37.6323]","[-86.6779,36.5104,-82.7167,38.7375]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP341,4859625,,all,41,,,,2-digit postcode area,2018,USA,US,,,,,,,0,31035,"[-82.9593,38.0592]","[-85.3331,36.9542,-81.9648,39.1477]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP342,4728553,,all,42,,,,2-digit postcode area,2018,USA,US,,,,,,,0,58668,"[-86.4552,37.2525]","[-89.4173,36.4971,-84.2268,37.9994]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP343,5777129,,all,43,,,,2-digit postcode area,2018,USA,US,,,,,,,0,51838,"[-82.317,40.1828]","[-84.8062,39.326,-80.5189,41.7329]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP344,5646057,,all,44,,,,2-digit postcode area,2018,USA,US,,,,,,,0,35974,"[-82.0561,41.0959]","[-83.6116,40.2022,-80.5182,41.9773]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP345,5580521,,all,45,,,,2-digit postcode area,2018,USA,US,,,,,,,0,52458,"[-84.1891,39.8492]","[-84.8203,38.4034,-80.9882,41.266]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP346,5449449,,all,46,,,,2-digit postcode area,2018,USA,US,,,,,,,0,53981,"[-86.0707,40.5197]","[-87.5279,39.2558,-84.8021,41.7607]"
